city,hotel_name,price,currency,num_adults,num_children,num_nights,rating,reviews_count,location,distance_from_center,star_rating,property_type,room_type,free_cancellation,meal_plan,amenities,hotel_url,scraped_date
Cairo,Skyline luxury hotel apartments 5 mins from Cairo Airport,1318,EGP,2,0,1,7.7,570,"Heliopolis, Cairo",15.8 km from downtown,3,Apartment,Standard Twin Room with Shared Bathroom,Yes,,Free Wifi,https://www.booking.com/hotel/eg/heliopolis-rock-luxury-suite.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=1286051509_401547226_2_0_0_657050&highlighted_blocks=1286051509_401547226_2_0_0_657050&matching_block_id=1286051509_401547226_2_0_0_657050&sr_pri_blocks=1286051509_401547226_2_0_0_657050_2500&from=searchresults,5/9/2026
Cairo,Azor pyramids hotel,577,EGP,2,0,1,10,7,"Giza, Cairo",11.6 km from downtown,5,Hotel,Double Room,Yes,Breakfast included,"Free parking, Airport shuttle (free), Bar",https://www.booking.com/hotel/eg/azor-pyramids.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=1629984903_433562863_2_41_0&highlighted_blocks=1629984903_433562863_2_41_0&matching_block_id=1629984903_433562863_2_41_0&sr_pri_blocks=1629984903_433562863_2_41_0__1094&from=searchresults,5/9/2026
Cairo,"Radisson Blu Hotel, Cairo Heliopolis",4983,EGP,2,0,1,8,6318,"Heliopolis, Cairo",15.1 km from downtown,4,Hotel,Superior Room,No,,"Hot tub/Jacuzzi, Spa, Bar",https://www.booking.com/hotel/eg/radisson-blu-cairo-heliopolis.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=17387302_97776922_2_42_0&highlighted_blocks=17387302_97776922_2_42_0&matching_block_id=17387302_97776922_2_42_0&sr_pri_blocks=17387302_97776922_2_42_0__9452&from=searchresults,5/9/2026
Cairo,Horus Cairo Hotel Downtown,5272,EGP,2,0,1,10,1,Cairo,300 m from downtown,3,Hotel,Deluxe Double or Twin Room with Balcony,Yes,Breakfast included,"Free Wifi, 24-hour front desk",https://www.booking.com/hotel/eg/horus-cairo-downtown.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=1616889601_432549484_2_1_0&highlighted_blocks=1616889601_432549484_2_1_0&matching_block_id=1616889601_432549484_2_1_0&sr_pri_blocks=1616889601_432549484_2_1_0__10000&from=searchresults,5/9/2026
Cairo,Baron Hotel Cairo,5186,EGP,2,0,1,8.5,3115,"Heliopolis, Cairo",10.3 km from downtown,4,Hotel,Superior Double or Twin Room,Yes,,"Spa, Bar",https://www.booking.com/hotel/eg/baron-heliopolis.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=25756711_402303181_2_42_0&highlighted_blocks=25756711_402303181_2_42_0&matching_block_id=25756711_402303181_2_42_0&sr_pri_blocks=25756711_402303181_2_42_0__9836&from_sustainable_property_sr=1&from=searchresults,5/9/2026
Cairo,City Stars Hotel,1459,EGP,2,0,1,6.9,944,"Downtown Cairo, Cairo",100 m from downtown,3,Hotel,Budget Double Room,Yes,Breakfast included,"Restaurant, Free Wifi, 24-hour front desk",https://www.booking.com/hotel/eg/city-stars-cairo.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=1219032305_413281741_2_1_0_822354&highlighted_blocks=1219032305_413281741_2_1_0_822354&matching_block_id=1219032305_413281741_2_1_0_822354&sr_pri_blocks=1219032305_413281741_2_1_0_822354_2768&from=searchresults,5/9/2026
Cairo,"Golden Park Hotel Cairo, Heliopolis",2278,EGP,2,0,1,7.1,1404,"Heliopolis, Cairo",13.7 km from downtown,3,Hotel,Standard Double or Twin Room,Yes,,"Adults only, Bar, Restaurant",https://www.booking.com/hotel/eg/golden-park.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=73852702_431340150_2_10_0_1204109&highlighted_blocks=73852702_431340150_2_10_0_1204109&matching_block_id=73852702_431340150_2_10_0_1204109&sr_pri_blocks=73852702_431340150_2_10_0_1204109_4320&from=searchresults,5/9/2026
Cairo,Novotel Cairo El Borg,5799,EGP,2,0,1,8.6,2386,"Gezira, Cairo (Gezira)",0.8 km from downtown,4,Hotel,Superior Twin Room - City Side,No,Breakfast included,"Hot tub/Jacuzzi, Heated pool",https://www.booking.com/hotel/eg/novotel-cairo-el-borg.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=4862201_117034950_2_41_0&highlighted_blocks=4862201_117034950_2_41_0&matching_block_id=4862201_117034950_2_41_0&sr_pri_blocks=4862201_117034950_2_41_0__11000&from_sustainable_property_sr=1&from=searchresults,5/9/2026
Cairo,Pyramisa Suites Hotel Cairo,4569,EGP,2,0,1,8.5,13240,Cairo,1.8 km from downtown,5,Hotel,Deluxe Twin Room,Yes,,"Bar, Restaurant, Free Wifi",https://www.booking.com/hotel/eg/pyramisa-suites-casino-cairo.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=1603140_244505030_2_42_0&highlighted_blocks=1603140_244505030_2_42_0&matching_block_id=1603140_244505030_2_42_0&sr_pri_blocks=1603140_244505030_2_42_0__8666&from=searchresults,5/9/2026
Cairo,City Hotel,1063,EGP,2,0,1,8,936,Cairo,150 m from downtown,,Hotel,Deluxe Double Room,Yes,,"Free Wifi, 24-hour front desk",https://www.booking.com/hotel/eg/city.html?aid=304142&label=gen173nr-10CAQoggI46wdIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4Aoy6_c8GwAIB0gIkZWYyZGFjNmEtZjE5MC00NzBhLThjOGQtY2QzMGM4ZjZmZjg52AIB4AIB&ucfs=1&arphpl=1&checkin=2026-06-01&checkout=2026-06-02&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=5a6c7206a05101b2&srepoch=1778343229&all_sr_blocks=218266202_179863131_2_2_0&highlighted_blocks=218266202_179863131_2_2_0&matching_block_id=218266202_179863131_2_2_0&sr_pri_blocks=218266202_179863131_2_2_0__2016&from=searchresults,5/9/2026
